park_name,remaining_area_ha,improved_pasture_ha,improved_pasture_pct,broadleaved_woodland_ha,broadleaved_woodland_pct,Bracken,Broadleaved High Forest,Clear Felled/Newly Planted,Coastal Bare Rock,Coastal Heath,Coniferous High Forest,Cultivated Land,Derelict Land,Improved Pasture,Inland Bare Rock,"Isolated Rural Developments, Farmsteads","Isolated Rural Developments, Other",Mixed High Forest,"Open Water, Inland",Quarries and Mineral Workings,Rough Pasture,Sand Beach,Scrub,Shingle Beach,Unclassified,Unenclosed Lowland Rough Grassland,Upland Grass Moor,Upland Heath,Upland Heath/Bracken Mosaic,Upland Heath/Grass Moor Mosaic,Urban Land,Major Transport Routes,Eroded Mineral Soil,Eroded Peat,Upland Blanket Peat Grass Moor,Upland Heath/Blanket Peat Mosaic,Peat Bog,Dunes,Freshwater Marsh,Mudflats,"Open Water, Coastal",Saltmarsh,Unenclosed Lowland Heath
NEW FOREST,20497.817463354466,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXMOOR,42228.45308366274,30905.771264275652,73.18707887083939,0,0.0,536.4671053454784,483.8545097785624,566.1992685016592,5.573477733238402,2.4502075922616986,2378.422743107558,4300.277283141438,2.691804909784109,30905.771264275652,0.15361751787925146,211.83685004202266,113.52522613677799,87.18125924382052,15.337062468652142,4.39661777000499,1626.786408539902,6.644687726884141,189.35024511577956,139.19739806754154,0.6473705874934028,2.1538590213882287,15.900571621793246,3.071083107789994,12.691233500671723,12.203241019013332,544.985145394547,,,,,,,,,,,,
DARTMOOR,44607.159043633495,25889.616373511722,58.03915095374536,0,0.0,1181.4082615699185,848.1169489603441,451.2434210864268,0.3154720622190613,,3036.4598729879294,4985.891466816674,31.296006712025044,25889.616373511722,10.960742550899937,348.0614088351398,224.1407874489579,189.72682348950573,34.01702499317221,60.23464222327551,2366.2751940116864,,444.45045080626164,,0.6897388823920106,,2032.3918528756858,7.774336978787483,74.11281346784014,397.62889380977697,1252.2823512427071,31.72933796364953,,,,,,,,,,,
PEAK DISTRICT,75025.24804918218,57346.91199800442,76.43681759027459,0,0.0,447.5323917781113,671.7628336492245,218.45527502542234,,,3295.862911044907,1174.3449156447684,131.87796428431176,57346.91199800442,0.3642565021659678,450.24314617511766,166.4378464099862,480.78649412721984,145.59028579255497,368.44042735099026,5779.781179514233,,287.0519963691998,,93.27651094260216,,2015.8280299798855,175.22581713417762,20.87366197427509,233.51307580098543,1312.6386820219266,64.81578232945782,25.473052047069906,1.2017127086501225,9.070567663744335,5.502347413412171,,,,,,,
NORTH YORK MOORS,85263.24376276224,24883.739857424305,29.184603774471924,0,0.0,1736.7532984104737,1107.0694238503884,2080.740881394874,11.06827523763069,9.536125137573537,17262.85562614856,31411.032720116695,33.349246744940444,24883.739857424305,20.45076026618256,431.9705119530631,161.25701765767465,1206.6028784290447,26.61011984028409,92.16279857707477,1732.0188747053644,6.991785510682079,499.30291296040855,20.243100443877186,0.4782256131539304,6.346042175381054,240.4908847849287,203.4161404990868,244.9557357857865,252.9709664434071,933.9861222733855,30.32519468667043,2.481242877961471,,,0.42985567428603116,0.11186726685130964,,,,,,
LAKE DISTRICT,103900.02476486408,53940.736277167176,51.91599944200238,0,0.0,4618.109238183492,1536.09794079293,2021.9975268307057,1.2355989505415403,,8936.72603291847,882.892825004232,82.01227654273096,53940.736277167176,1009.3757948252081,501.3851603037161,277.64380799188234,1615.162620015319,154.84665465541096,102.29264891357239,7058.084859619961,284.7942327145213,650.1061919002846,219.81499484384008,161.10158497664148,2.32136144456957,13167.587926730119,208.53462551613524,66.98207445211258,128.05839123758645,1681.1452196686403,83.37211569333056,12.690869810013208,3.6737813864763345,59.768253315518976,1.3428045618284512,66.0195462489276,17.71125269112806,11.565857712945581,0.6155483652832754,67.98352782872975,5.8807837889559345,2.3226688959653736e-05
THE BROADS,9342.056057175045,1307.17880589583,13.99241021350828,0,0.0,,201.67263004431388,10.720272633109511,,,60.211565893855486,5368.869616779369,16.635615379426532,1307.17880589583,,105.86061567649892,52.06929956085215,26.82893143060845,148.35053144411577,4.25133105402981,357.13679172581817,,24.992512008197984,,17.946547627225463,29.265968004117898,,,,,555.0865966384043,64.87675673090756,,,,,,,305.32940189892315,0.14309563376739579,598.6068543742775,14.515129636325018,5.2780587733893745
SOUTH DOWNS,113354.91725450744,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTHUMBERLAND,30755.503588045798,4883.977793550827,15.88001243279644,0,0.0,547.9119183836835,157.10381507599448,3840.1409573934725,,,15144.425010384304,256.82271483961597,11.918146108231417,4883.977793550827,14.266071572464282,72.36258895948048,34.25844921435845,97.51603113794756,6.953695800851587,7.1439088671189275,1904.4353497306959,,89.93842735827388,0.04297184175813035,50.32331340264105,,3055.331549169361,103.12270268133415,25.630116214054826,182.50122310430115,92.46635653458938,,6.812458210472941,,1.5965339956798428,20.077906388900885,0.11502670376638434,,1.7394599264172816,0.38402690000526346,,,
YORKSHIRE DALES,102379.22398664252,41433.59932822326,40.470710476990064,0,0.0,829.509063550782,533.146607687119,677.120342813819,,,3187.49587257801,62.63101159208909,84.18416949119678,41433.59932822326,285.13434591564817,252.15403030425264,130.39503739988763,291.96053875305125,25.503720947962147,182.1923303673919,14888.161623758147,,186.39999581989042,,199.5976645655927,,12688.41394483903,556.3468057177392,0.4946311110554214,191.66256465655854,670.3077747363226,119.48041698934324,40.22033225174386,15.930840041498483,711.0426193335201,75.01566673057046,11.741037721172704,,0.0006996370787059934,,,1.3851417242259179,
